ID,Parent,Type,Images,Nicotine Product,Brands,SKU,Name,Short description,Description,Bowl Size,Weight (lbs),Length (in),Width (in),Height (in),,Tax status,Tax class,,Stock,Low stock amount,,,,Sale price,Regular price,Categories,Tags,Shipping class,,,,,,,Cross-sells,,Button text,,,,Visibility in catalog,,,,,,,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,,,,,,,,,,,,,,,,
9822,id:9818,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9178.png,FALSE,CRAVE,C-RO 1239 - Teal,Crave Glass Fixed Downstem Water Pipe |REF: C-RO 1239|,,,,,,,,,taxable,parent,,,,,,,,20,,,,,,,,,,,,,,,visible,,,,,,,Color,Teal,,,,,,,,,,,,,,,,,,,,,,
9823,id:9818,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9179.png,FALSE,CRAVE,C-RO 1239 - Yellow,Crave Glass Fixed Downstem Water Pipe |REF: C-RO 1239|,,,,,,,,,taxable,parent,,,,,,,,20,,,,,,,,,,,,,,,visible,,,,,,,Color,Yellow,,,,,,,,,,,,,,,,,,,,,,
9828,,variable,"https://sigdistro.com/wp-content/uploads/2023/04/IMG_9097.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9095.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9097.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9098.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9101.png",FALSE,CRAVE,,Crave Glass Swirl Water Pipe |REF: C-RO 2242|,"This unique Crave Glass Swirl water pipe filters the smoke through a series of percs and passage ways. The smoke first enters through the disc perc, up the funnel tube to be swirled around the ball and through the side tube for extra filtration.
\n<ul>
\n 	<li><strong>Disc perc</strong></li>
\n 	<li><strong>14mm male bowl</strong></li>
\n 	<li><strong>Height 9""</strong></li>
\n 	<li><strong>Funnel recycler </strong></li>
\n 	<li><strong>Swirl patterned ball</strong></li>
\n</ul>",This unique Crave Glass Swirl water pipe filters the smoke through a series of percs and passage ways. The contrasting colors on this bong make it a stand out piece. Watch as the smoke swirls around the ball and up through the mouth piece for a smooth hit.,,,,,,,taxable,,,,,,,,,,"Crave, Smoking Pipes > Glass Water Pipes, Smoking Pipes","Crave, Water Pipes",,,,,,,,,,,,,visible,,,,,,,Color,"Blue, Milk Blue, Teal, Aqua",1,,,,,,,,,,,,,,,,,,,,,
9829,id:9828,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9098.png,FALSE,CRAVE,C-RO 2242 - Blue,Crave Glass Swirl Water Pipe |REF: C-RO 2242|,,,,,,,,,taxable,parent,,,,,,,,30,,,,,,,,,,,,,,,visible,,,,,,,Color,Blue,,,,,,,,,,,,,,,,,,,,,,
9830,id:9828,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9097.png,FALSE,CRAVE,C-RO 2242 - Milk Blue,Crave Glass Swirl Water Pipe |REF: C-RO 2242|,,,,,,,,,taxable,parent,,,,,,,,30,,,,,,,,,,,,,,,visible,,,,,,,Color,Milk Blue,,,,,,,,,,,,,,,,,,,,,,
9831,id:9828,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9095.png,FALSE,CRAVE,C-RO 2242 - Teal,Crave Glass Swirl Water Pipe |REF: C-RO 2242|,,,,,,,,,taxable,parent,,,,,,,,30,,,,,,,,,,,,,,,visible,,,,,,,Color,Teal,,,,,,,,,,,,,,,,,,,,,,
9832,id:9828,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9101.png,FALSE,CRAVE,C-RO 2242 - Aqua,Crave Glass Swirl Water Pipe |REF: C-RO 2242|,,,,,,,,,taxable,parent,,,,,,,,30,,,,,,,,,,,,,,,visible,,,,,,,Color,Aqua,,,,,,,,,,,,,,,,,,,,,,
9837,,variable,"https://sigdistro.com/wp-content/uploads/2023/04/IMG_9058.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9052.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9058.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9060.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9061.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9066.png",FALSE,CRAVE,,Crave Glass Ball Rig |REF: C-RO 2253|,"The Crave Glass Ball Rig stands at 8"" with a ball chamber to help push the smoke around to be diffused at the bottom where a flower of life diffusor awaits.
\n<ul>
\n 	<li><strong>Height 8""</strong></li>
\n 	<li><strong>14mm male bowl</strong></li>
\n 	<li><strong>Ball chamber</strong></li>
\n 	<li><strong>Flower of life diffusor</strong></li>
\n 	<li><strong>Flower and concentrate use</strong></li>
\n</ul>","The Crave Glass Ball Rig stands at 8"" with a ball chamber to help push the smoke around to be diffused at the bottom. This forces the smoke to be moved around and exposed to more water for smoother tokes. The flower of life percolator is placed at the bottom for final diffusion before being pulled up towards the mouthpiece. Great for both flower and concentrates simply by switching out the bowl piece.",,,,,,,taxable,,,,,,,,,,"Crave, Smoking Pipes > Glass Water Pipes, Smoking Pipes","Crave, Dab Rigs, Water Pipes",,,,,,,,,,,,,visible,,,,,,,Color,"Milk Blue, Milk Pink, Milk Purple, White, Green",1,,,,,,,,,,,,,,,,,,,,,
9838,id:9837,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9061.png,FALSE,CRAVE,C-RO 2253 - Milk Blue,Crave Glass Ball Rig |REF: C-RO 2253|,,,,,,,,,taxable,parent,,,,,,,,25,,,,,,,,,,,,,,,visible,,,,,,,Color,Milk Blue,,,,,,,,,,,,,,,,,,,,,,
9839,id:9837,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9060.png,FALSE,CRAVE,C-RO 2253 - Milk Pink,Crave Glass Ball Rig |REF: C-RO 2253|,,,,,,,,,taxable,parent,,,,,,,,25,,,,,,,,,,,,,,,visible,,,,,,,Color,Milk Pink,,,,,,,,,,,,,,,,,,,,,,
9840,id:9837,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9058.png,FALSE,CRAVE,C-RO 2253 - Milk Purple,Crave Glass Ball Rig |REF: C-RO 2253|,,,,,,,,,taxable,parent,,,,,,,,25,,,,,,,,,,,,,,,visible,,,,,,,Color,Milk Purple,,,,,,,,,,,,,,,,,,,,,,
9841,id:9837,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9052.png,FALSE,CRAVE,C-RO 2253 - White,Crave Glass Ball Rig |REF: C-RO 2253|,,,,,,,,,taxable,parent,,,,,,,,25,,,,,,,,,,,,,,,visible,,,,,,,Color,White,,,,,,,,,,,,,,,,,,,,,,
9842,id:9837,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9066.png,FALSE,CRAVE,C-RO 2253 - Green,Crave Glass Ball Rig |REF: C-RO 2253|,,,,,,,,,taxable,parent,,,,,,,,25,,,,,,,,,,,,,,,visible,,,,,,,Color,Green,,,,,,,,,,,,,,,,,,,,,,
9850,,variable,"https://sigdistro.com/wp-content/uploads/2023/04/IMG_9123.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9123.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9126.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9127.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9129.png, https://sigdistro.com/wp-content/uploads/2023/04/IMG_9131.png",FALSE,CRAVE,,Crave Glass Chamber Water Pipe |REF: C-RO 2270|,"The Crave Glass Chamber water pipe features two chambers for diffusion and a circle percolator at the bottom for extra filtration.
\n<ul>
\n 	<li><strong>14mm male bowl</strong></li>
\n 	<li><strong>Funnel chamber</strong></li>
\n 	<li><strong>Ball chamber</strong></li>
\n 	<li><strong>Circle perc</strong></li>
\n 	<li><strong>Height 10""</strong></li>
\n</ul>","The Crave Glass Chamber water pipe features two chambers for diffusion and a circle percolator at the bottom for extra filtration. The smoke travels around the perforated funnel chamber, through the ball chamber then through the circle perc before flowing up out of the mouth piece for smooth tokes.",,,,,,,taxable,,,,,,,,,,"Crave, Smoking Pipes > Glass Water Pipes, Smoking Pipes","Crave, Water Pipes",,,,,,,,,,,,,visible,,,,,,,Color,"Blue-D, Milk Blue, Purple, Grey, Teal",1,,,,,,,,,,,,,,,,,,,,,
9852,id:9850,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9127.png,FALSE,CRAVE,C-RO 2270 - Blue-D,Crave Glass Chamber Water Pipe |REF: C-RO 2270|,,,,,,,,,taxable,parent,,,,,,,,38,,,,,,,,,,,,,,,visible,,,,,,,Color,Blue-D,,,,,,,,,,,,,,,,,,,,,,
9853,id:9850,variation,https://sigdistro.com/wp-content/uploads/2023/04/IMG_9129.png,FALSE,CRAVE,C-RO 2270 - Milk Blue,Crave Glass Chamber Water Pipe |REF: C-RO 2270|,,,,,,,,,taxable,parent,,,,,,,,38,,,,,,,,,,,,,,,visible,,,,,,,Color,Milk Blue,,,,,,,,,,,,,,,,,,,,,,
